Chromophore,Solvent,Lifetime (ns)
N#Cc1cc2ccc(O)cc2oc1=O,O,1.0311405735644972
N#Cc1cc2ccc([O-])cc2oc1=O,O,1.3767401483890789
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,1.2817541819496168
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,1.3376291891386096
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,1.547562508716013
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,1.0296194171811581
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,1.1314021114911006
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,1.2237754316221157
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,1.1314021114911006
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,1.33500106673234
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,1.410986973710262
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,1.5260563034950492
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,-0.5108256237659907
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,-0.16251892949777494
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,0.9932517730102834
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,0.9555114450274363
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,1.1939224684724346
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,1.5040773967762742
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,1.7749523509116738
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,1.4586150226995167
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,1.6863989535702288
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,1.7227665977411035
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,1.2237754316221157
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,1.252762968495368
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,1.4350845252893227
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,1.7227665977411035
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,1.62924053973028
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,1.6486586255873816
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,1.1631508098056809
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,1.0296194171811581
CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,1.252762968495368
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,2.0412203288596382
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,1.308332819650179
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,0.41871033485818504
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,1.425515074273172
